mod_id	item_id	source
aces_spell_utils	aces_spell_utils:affinity_ring_hydro	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:affinity_ring_ritual	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:affinity_ring_technomancy	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_ap_magic_sword	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_ap_sword	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_curio	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_gun	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_imbue_curio	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_imbue_staff	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_loot_bag	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_passive_ability_spellbook	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_sheath	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_sheath_fixed	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_sheath_gui	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_sheath_handheld	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_staff	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:example_unique_passive_ability_spellbook	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:scroll_hydro	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:scroll_ritual	aces_spell_utils-1.2.6.1-1.21.1.jar
aces_spell_utils	aces_spell_utils:scroll_technomancy	aces_spell_utils-1.2.6.1-1.21.1.jar
alexsmobs	alexsmobs:acacia_blossom	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:ambergris	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:ancient_dart	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:animal_dictionary	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banana	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banana_peel	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banana_slug_slime	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banana_slug_slime_block	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banner_pattern_australia_0	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banner_pattern_australia_1	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banner_pattern_bear	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banner_pattern_brazil	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:banner_pattern_new_mexico	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:bear_dust	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:bear_fur	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:bison_carpet	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:bison_fur	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:bison_fur_block	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:blobfish	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:blobfish_bucket	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:blood_gun_empty	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:blood_sac	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:blood_sprayer	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:blood_sprayer_empty	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:boiled_emu_egg	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:bone_serpent_tooth	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cachalot_whale_tooth	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:caiman_egg	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:capsid	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:centipede_leg	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:centipede_leggings	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:chorus_on_a_stick	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cockroach_ootheca	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cockroach_wing	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cockroach_wing_fragment	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:comb_jelly_bucket	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cooked_catfish	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cooked_kangaroo_meat	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cooked_lobster_tail	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cooked_moose_ribs	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cosmic_cod	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:cosmic_cod_bucket	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:crocodile_chestplate	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:crocodile_egg	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:crocodile_scute	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:crystalized_banana_slug_mucus	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:devils_hole_pupfish_bucket	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_0	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_1	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_10	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_2	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_3	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_4	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_5	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_6	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_7	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_8	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dimensional_carver_shard_9	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:dropbear_claw	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:echolocator	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:elastic_tendon	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:emu_egg	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:emu_feather	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:emu_leggings	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:end_pirate_anchor	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:end_pirate_anchor_winch	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:end_pirate_door	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:end_pirate_flag	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:end_pirate_ship_wheel	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:end_pirate_trapdoor	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:ender_residue	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:enderiophage_rocket	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:endolocator	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:falconry_glove	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:falconry_glove_hand	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:falconry_glove_inventory	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:falconry_hood	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:farseer_arm	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:fedora	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:fish_bones	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:fish_oil	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:flying_fish	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:flying_fish_boots	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:flying_fish_bucket	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:frilled_shark_bucket	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:frontier_cap	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:froststalker_helmet	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:froststalker_horn	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:gazelle_horn	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:ghostly_pickaxe	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:gongylidia	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:guster_eye	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:gustmaker	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:halo	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:hemolymph_blaster	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:hemolymph_blaster_empty	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:hemolymph_sac	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:hummingbird_feeder	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:kangaroo_burger	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:kangaroo_hide	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:kangaroo_meat	alexsmobs-1.22.17.jar
alexsmobs	alexsmobs:komodo_spit	alexsmobs-1.22.17.jar
