"project","kind","version","loader","minecraft","url","filename","dependencies","classification"
"[ISD] Iron's Spell's Delight","addon","1.0.3","forge","1.20.1","https://mediafilez.forgecdn.net/files/8387/267/irons_spells_delight-1.0.3-all.jar","irons_spells_delight-1.0.3-all.jar","Farmer's Delight; Iron's Spells 'n Spellbooks","needs-testing"
"[TaCZ] IronsArms","addon","3.0.6","forge","1.20.1","https://mediafilez.forgecdn.net/files/7949/129/IronsArms-1.20.1-3.0.6.jar","IronsArms-1.20.1-3.0.6.jar","TaCZ; Iron's Spells 'n Spellbooks","dependencies"
"Alex's Caves: Spellbooks","addon","1.1.2","forge","1.20.1","https://mediafilez.forgecdn.net/files/8020/928/alexs_caves_spellbooks-1.1.2.jar","alexs_caves_spellbooks-1.1.2.jar","Alex's Caves; Iron's Spells 'n Spellbooks","dependencies"
"Alshanex's Familiars","addon","1.20.1_v1.1.2_HotFix","forge","1.20.1","https://cdn.modrinth.com/data/GmF3uubs/versions/vvMgpPkX/alshanex_familiars-1.20.1_v1.1.2_HotFix.jar","alshanex_familiars-1.20.1_v1.1.2_HotFix.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"An Assortment Of Spells","addon","0.0.2-beta","forge","1.20.1","https://cdn.modrinth.com/data/aoM2E4kj/versions/lz5Yec3x/sarps_spells-0.0.2-beta.jar","sarps_spells-0.0.2-beta.jar","Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.15.6","needs-testing"
"Apprentice's Codex","addon","0.9.5","forge","1.20.1","https://cdn.modrinth.com/data/MYxjEv5n/versions/rqfm6ags/apprentice_codex-0.9.5%2Bmc1.20.1.jar","apprentice_codex-0.9.5+mc1.20.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","needs-testing"
"Arcanist's Equipage","addon","1.0.2-20.1","forge","1.20.1","https://cdn.modrinth.com/data/qBbql9R8/versions/hCy7gEuT/arcanists_equipage-1.0.2-20.1.jar","arcanists_equipage-1.0.2-20.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"Arknights Origins Originium Arts","addon","1.0.2-1.20.1","forge","1.20.1","https://cdn.modrinth.com/data/qLBNVpiv/versions/WNJeWipJ/arknights_originiumarts-1.0.2-1.20.1.jar","arknights_originiumarts-1.0.2-1.20.1.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; Origins Forge jl3m2lR9","active"
"Ars 'n Spells","addon","3.0.1","forge","1.20.1","https://cdn.modrinth.com/data/NlMT8pQt/versions/IJ2x9Nbu/ars_n_spells-3.0.1.jar","ars_n_spells-3.0.1.jar","optional: Ars Nouveau TKB6INcv; Iron's Spells 'n Spellbooks s4OWxYQQ","needs-testing"
"Atlas' Additions","addon","1.3","forge","1.20.1","https://cdn.modrinth.com/data/9BMOxzQa/versions/6p4UKcRE/atlas_additions-1.3.jar","atlas_additions-1.3.jar","Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"BarrelSpell","addon","1.9","forge","1.20.1","https://cdn.modrinth.com/data/36z3F6gn/versions/Cwcuyqry/barrelspell-1.9.jar","barrelspell-1.9.jar","unknown","needs-testing"
"BielGG's Spells Addon","addon","1.2","forge","1.20.1","https://cdn.modrinth.com/data/ED55R9vA/versions/PtHM9Lh0/bielgg_spells-1.2.jar","bielgg_spells-1.2.jar","Cataclysm 46KJle7n 3.32; Curios vvuO3ImH; ROARING noogFnLJ Beta-0.3; Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.16.2","active"
"Blatium Spellbooks","addon","1.20.1+0.3","forge","1.20.1","https://cdn.modrinth.com/data/KR1jZtJL/versions/bd0jgXBA/blatium_spellbooks-1.20.1%2B0.3.jar","blatium_spellbooks-1.20.1+0.3.jar","Blatium ToWlReoc; Iron's Spells 'n Spellbooks s4OWxYQQ","active"
"Cataclysm: Spellbooks","addon","1.2.9-1.20.1","forge","1.20.1","https://cdn.modrinth.com/data/3FEg0A8D/versions/e7VE8bSy/cataclysm_spellbooks-1.2.9-1.20.1-all.jar","cataclysm_spellbooks-1.2.9-1.20.1-all.jar","Iron's Spells 'n Spellbooks s4OWxYQQ; AzureLib 7zlUOZvb; Cataclysm 46KJle7n","active"
"Construct's Casting","addon","2.2.5","forge","1.20.1","https://cdn.modrinth.com/data/nuBOPsPE/versions/UYAU4ZNo/constructs_casting-2.2.5.jar","constructs_casting-2.2.5.jar","Tinkers' Construct rxIIYO6c 3.11.2.166; Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.16.0","active"
