"project","version","filename","classification","source","sha256","size","status","dependencies"
"[ISD] Iron's Spell's Delight","1.0.3","irons_spells_delight-1.0.3-all.jar","needs-testing","https://mediafilez.forgecdn.net/files/8387/267/irons_spells_delight-1.0.3-all.jar","532df06fd9a5466342a4b1b7c6e0d79642c32a74579277bdd2e1af96ee6f1a7a","457163","valid","Farmer's Delight; Iron's Spells 'n Spellbooks"
"[TaCZ] IronsArms","3.0.6","IronsArms-1.20.1-3.0.6.jar","dependencies","https://mediafilez.forgecdn.net/files/7949/129/IronsArms-1.20.1-3.0.6.jar","9b7af657e2a09fa5099da3018de01cc8f654a49893d8e0bbfca92b634f78231e","62762","valid","TaCZ; Iron's Spells 'n Spellbooks"
"Alex's Caves: Spellbooks","1.1.2","alexs_caves_spellbooks-1.1.2.jar","dependencies","https://mediafilez.forgecdn.net/files/8020/928/alexs_caves_spellbooks-1.1.2.jar","e5b84972a61944ee88e6ea64e4bf1f252e2c68bc6de84a43cbf451f6fccaabd7","70941","valid","Alex's Caves; Iron's Spells 'n Spellbooks"
"Alshanex's Familiars","1.20.1_v1.1.2_HotFix","alshanex_familiars-1.20.1_v1.1.2_HotFix.jar","active","https://cdn.modrinth.com/data/GmF3uubs/versions/vvMgpPkX/alshanex_familiars-1.20.1_v1.1.2_HotFix.jar","7929ce275dd350d324288d479f681c034935cc4fa0e189dcbcbc0972822adc55","21479291","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"An Assortment Of Spells","0.0.2-beta","sarps_spells-0.0.2-beta.jar","needs-testing","https://cdn.modrinth.com/data/aoM2E4kj/versions/lz5Yec3x/sarps_spells-0.0.2-beta.jar","9f4012a56df4bae63ffa7d230ee83ae9a6b290e2200b8a401ef3603e8d23498c","121421","valid","Iron's Spells 'n Spellbooks s4OWxYQQ 1.20.1-3.15.6"
"Apprentice's Codex","0.9.5","apprentice_codex-0.9.5+mc1.20.1.jar","needs-testing","https://cdn.modrinth.com/data/MYxjEv5n/versions/rqfm6ags/apprentice_codex-0.9.5%2Bmc1.20.1.jar","455ec1eeb718d67b76b29b931f6777c9567de13e4c8d272edebf684c09afae9a","8117729","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"Arcanist's Equipage","1.0.2-20.1","arcanists_equipage-1.0.2-20.1.jar","active","https://cdn.modrinth.com/data/qBbql9R8/versions/hCy7gEuT/arcanists_equipage-1.0.2-20.1.jar","11cc1b343376dc8d7d21591ce358709ae502b846e3a50a91563be39a515a4841","364101","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
"Arknights Origins Originium Arts","1.0.2-1.20.1","arknights_originiumarts-1.0.2-1.20.1.jar","active","https://cdn.modrinth.com/data/qLBNVpiv/versions/WNJeWipJ/arknights_originiumarts-1.0.2-1.20.1.jar","57207f16ab8cbe16f42865ffd59aa91fe1cacabcee957affc2db141049a0f08f","38515","valid","Iron's Spells 'n Spellbooks s4OWxYQQ; Origins Forge jl3m2lR9"
"Ars 'n Spells","3.0.1","ars_n_spells-3.0.1.jar","needs-testing","https://cdn.modrinth.com/data/NlMT8pQt/versions/IJ2x9Nbu/ars_n_spells-3.0.1.jar","88a807e0a0bd4186fd7c87db4ba7075a76c26b4863e3b3fcf7368d9785f3ba95","361184","valid","optional: Ars Nouveau TKB6INcv; Iron's Spells 'n Spellbooks s4OWxYQQ"
"Atlas' Additions","1.3","atlas_additions-1.3.jar","active","https://cdn.modrinth.com/data/9BMOxzQa/versions/6p4UKcRE/atlas_additions-1.3.jar","72a9b8bc564a9e4d7a5ac7d8914d1cd853b6afa963aaa9c62b0eac44162ef769","124559","valid","Iron's Spells 'n Spellbooks s4OWxYQQ"
